x,y,time,xaccel,yaccel
0.0, 0.0, 0.0409998893737793, 0.0, -0.6000000238418579
0.012682636721077518, 0.012682636721077518, 0.023000001907348633, 0.2800000011920929, -0.7900000214576721
0.17998135533463053, 0.17998135533463053, 0.023000001907348633, 4.510000228881836, 3.2300000190734863
0.35384529584995894, 0.35384529584995894, 0.020999908447265625, 4.46999979019165, -2.7100000381469727
0.6443147449416331, 0.6443147449416331, 0.019999980926513672, 5.710000038146973, -1.0700000524520874
1.0579539825502202, 1.0579539825502202, 0.019999980926513672, 3.2899999618530273, -0.44999998807907104
1.5223915131494505, 1.5223915131494505, 0.019999980926513672, 4.929999828338623, -1.3899999856948853
2.020307849689447, 2.020307849689447, 0.020999908447265625, 0.5899999737739563, 2.5999999046325684
2.6575270425054724, 2.6575270425054724, 0.023000001907348633, 2.819999933242798, -2.6700000762939453
3.351782293839047, 3.351782293839047, 0.026999950408935547, 1.4700000286102295, 0.6100000143051147
4.313941004287421, 4.313941004287421, 0.020999908447265625, -1.4299999475479126, 3.0
5.029198666272627, 5.029198666272627, 0.023000001907348633, 1.6200000047683716, -1.690000057220459
5.944340171719438, 5.944340171719438, 0.023999929428100586, 3.2200000286102295, -0.5400000214576721
6.929097898057311, 6.929097898057311, 0.023000001907348633, 0.49000000953674316, -3.4700000286102295
7.805622327381351, 7.805622327381351, 0.023000001907348633, -2.299999952316284, 2.869999885559082
8.923408129841377, 8.923408129841377, 0.023000001907348633, 1.4900000095367432, -1.1100000143051147
9.869415758594823, 9.869415758594823, 0.019999980926513672, 2.4800000190734863, -4.179999828338623
10.701207370333215, 10.701207370333215, 0.031999826431274414, 0.44999998807907104, 1.6100000143051147
12.268030080607867, 12.268030080607867, 0.02200007438659668, 1.3799999952316284, -0.7099999785423279
13.298078559500935, 13.298078559500935, 0.01900005340576172, 0.3799999952316284, 2.2300000190734863
14.226793669604984, 14.226793669604984, 0.01900005340576172, 1.059999942779541, -0.3799999952316284
15.220731681840014, 15.220731681840014, 0.023000001907348633, 0.8500000238418579, 1.4199999570846558
16.373760629211734, 16.373760629211734, 0.02500009536743164, -0.10000000149011612, 5.010000228881836
17.588529995833266, 17.588529995833266, 0.02200007438659668, 1.7000000476837158, 1.2100000381469727
18.731054622202368, 18.731054622202368, 0.023000001907348633, 0.3100000023841858, -2.0999999046325684
19.930831172459868, 19.930831172459868, 0.023999929428100586, 1.25, -0.8299999833106995
21.206978964572233, 21.206978964572233, 0.020999908447265625, 0.949999988079071, 0.30000001192092896
22.217426020514402, 22.217426020514402, 0.019999980926513672, -1.4199999570846558, -0.7200000286102295
23.226373760188626, 23.226373760188626, 0.021999835968017578, -1.25, 0.47999998927116394
24.245927706975507, 24.245927706975507, 0.020999908447265625, -0.3100000023841858, -1.4800000190734863
25.331143363429327, 25.331143363429327, 0.02200007438659668, -0.4300000071525574, -1.649999976158142
26.461362001761067, 26.461362001761067, 0.020999908447265625, -0.8999999761581421, 2.930000066757202
27.579832245908946, 27.579832245908946, 0.02200007438659668, -1.0399999618530273, 1.659999966621399
28.68967163073087, 28.68967163073087, 0.021999835968017578, 0.10000000149011612, -5.75
29.821379181473684, 29.821379181473684, 0.03600001335144043, 1.7799999713897705, 0.9300000071525574
31.546693487720344, 31.546693487720344, 0.026999950408935547, -0.8799999952316284, 0.44999998807907104
32.929243417942736, 32.929243417942736, 0.02200007438659668, 1.309999942779541, -1.8300000429153442
33.98950459657972, 33.98950459657972, 0.01900005340576172, 1.3300000429153442, -4.28000020980835
35.04142294747894, 35.04142294747894, 0.021000146865844727, -1.6299999952316284, 1.409999966621399
36.18675215328186, 36.18675215328186, 0.021000146865844727, -1.4700000286102295, -0.14000000059604645
37.329354477830044, 37.329354477830044, 0.02200007438659668, 0.7099999785423279, -1.940000057220459
38.44506150865518, 38.44506150865518, 0.019999980926513672, 1.600000023841858, -1.6799999475479126
39.50941506141117, 39.50941506141117, 0.023000001907348633, 1.5499999523162842, -0.12999999523162842
40.767736863907004, 40.767736863907004, 0.023999929428100586, 2.109999895095825, -0.14000000059604645
41.94587716420195, 41.94587716420195, 0.02200007438659668, -0.8100000023841858, 3.3499999046325684
43.1508605043338, 43.1508605043338, 0.019999980926513672, 0.7099999785423279, -4.090000152587891
44.256344924635705, 44.256344924635705, 0.019999980926513672, 0.14000000059604645, -2.7699999809265137
45.261755879134675, 45.261755879134675, 0.020999908447265625, 0.4099999964237213, -2.7899999618530273
46.37513933506548, 46.37513933506548, 0.021000146865844727, -0.3199999928474426, 0.3700000047683716
47.55284829625903, 47.55284829625903, 0.021000146865844727, -0.949999988079071, 3.7799999713897705
48.74955626225866, 48.74955626225866, 0.02200007438659668, -0.8500000238418579, 1.0399999618530273
49.94961081522199, 49.94961081522199, 0.03600001335144043, 0.5899999737739563, -0.07999999821186066
51.689581186743816, 51.689581186743816, 0.020999908447265625, -0.9599999785423279, 1.6399999856948853
52.966033321500426, 52.966033321500426, 0.019999980926513672, -0.6800000071525574, 2.8299999237060547
54.00767152377041, 54.00767152377041, 0.02200007438659668, 0.6800000071525574, -1.5099999904632568
55.250769737720425, 55.250769737720425, 0.021000146865844727, 1.9900000095367432, -4.579999923706055
56.43198413790414, 56.43198413790414, 0.023999929428100586, -0.029999999329447746, -0.6600000262260437
57.68558775920675, 57.68558775920675, 0.02200007438659668, -0.4099999964237213, -0.41999998688697815
58.86347104624973, 58.86347104624973, 0.020999908447265625, -1.8300000429153442, 1.4299999475479126
60.044029471302096, 60.044029471302096, 0.02200007438659668, -0.7400000095367432, 2.5399999618530273
